time,close
20180101,1407
20180102,1406
20180103,1400
20180106,1400
20180107,1387
20180108,1371
20180109,1365
20180110,1373
20180113,1379
20180114,1382
20180115,1385
20180116,1388
20180117,1384
20180120,1442
20180121,1451
20180122,1439
20180123,1423
20180124,1410
20180127,1376
20180128,1353
20180129,1352
20180130,1374
20180131,1368
20180203,1362
20180204,1365
20180205,1366
20180206,1352
20180207,1351
20180210,1348
20180212,1350
20180213,1383
20180214,1353
20180217,1350
20180218,1350
20180219,1350
20180221,1351
20180224,1415
20180225,1417
20180226,1485
20180227,1557
20180228,1634
20180303,1735
20180304,1677
20180305,1602
20180306,1635
20180307,1556
20180310,1562
20180311,1536
20180312,1594
20180313,1612
20180314,1553
20180317,1492
20180318,1519
20180319,1553
20180325,1539
20180326,1505
20180327,1450
20180328,1455
20180403,1432
20180404,1438
20180407,1449
20180408,1458
20180409,1399
20180410,1398
20180411,1342
20180415,1350
20180416,1363
20180417,1344
20180418,1357
20180421,1389
20180422,1420
20180423,1444
20180424,1434
20180425,1402
20180428,1377
20180429,1349
20180430,1359
20180501,1353
20180505,1356
20180506,1343
20180507,1330
20180508,1358
20180509,1303
20180512,1281
20180513,1335
20180514,1398
20180515,1438
20180516,1373
20180519,1369
20180520,1358
20180521,1355
20180522,1340
20180523,1334
20180526,1347
20180527,1360
20180528,1349
20180529,1353
20180530,1353
20180602,1353
20180603,1203
20180609,1260
20180610,1314
20180611,1329
20180612,1308
20180613,1325
20180617,1378
20180618,1379
20180619,1370
20180620,1318
20180623,1360
20180624,1371
20180625,1334
20180626,1276
20180627,1243
20180630,1300
20180701,1288
20180702,1285
20180703,1261
20180704,1256
20180707,1278
20180708,1248
20180710,1228
20180711,1214
20180714,1228
20180715,1227
20180716,1215
20180717,1214
20180718,1205
20180721,1203
20180722,1197
20180723,1164
20180724,1133
20180725,1166
20180726,1166
20180727,1166
20180728,1174
20180729,1145
20180730,1101
20180731,1129
20180801,1110
20180804,1059
20180805,1013
20180806,968
20180807,1006
20180808,995
20180811,1006
20180812,1055
20180813,1055
20180814,1095
20180815,1095
20180818,1095
20180819,1124
20180820,1082
20180821,1104
20180825,1137
20180826,1144
20180827,1191
20180828,1163
20180829,1145
20180901,1146
20180902,1180
20180903,1168
20180904,1160
20180905,1174
20180908,1224
20180909,1285
20180910,1348
20180911,1353
20180912,1382
20180915,1443
20180916,1438
20180917,1503
20180918,1557
20180922,1627
20180923,1603
20180924,1613
20180925,1648
20180926,1633
20180929,1710
20180930,1793
20181001,1720
20181002,1637
20181003,1611
20181006,1531
20181007,1518
20181008,1517
20181009,1478
20181010,1410
20181013,1410
20181014,1410
20181015,1343
20181016,1385
20181017,1328
20181020,1324
20181021,1300
20181022,1242
20181023,1192
20181024,1135
20181027,1181
20181028,1231
20181029,1238
20181031,1226
20181103,1189
20181104,1209
20181105,1220
20181106,1206
20181110,1208
20181111,1208
20181112,1208
20181113,1208
20181114,1238
20181117,1197
20181118,1155
20181119,1165
20181120,1159
20181121,1159
20181124,1159
20181126,1108
20181127,1140
20181128,1165
20181201,1153
20181202,1148
20181203,1145
20181204,1148
20181205,1171
20181208,1226
20181209,1211
20181210,1194
20181211,1191
20181212,1188
20181215,1150
20181216,1141
20181217,1146
20181218,1136
20181219,1124
20181222,1106
20181223,1118
20181224,1118
20181225,1151
20181226,1164
20181229,1166
20181230,1158
20181231,1150
20190101,1151
20190102,1155
20190105,1152
20190106,1146
20190107,1152
20190108,1148
20190109,1141
20190112,1150
20190113,1181
20190114,1194
20190115,1214
20190116,1202
20190119,1186
20190120,1207
20190121,1159
20190122,1169
20190123,1161
20190126,1161
20190127,1161
20190128,1171
20190129,1175
20190130,1168
20190202,1174
20190203,1226
20190204,1287
20190205,1351
20190206,1416
20190210,1486
20190212,1560
20190213,1581
20190216,1506
20190217,1518
20190218,1499
20190219,1435
20190220,1366
20190223,1382
20190224,1445
20190225,1384
20190226,1319
20190227,1341
20190302,1400
20190303,1411
20190304,1351
20190305,1311
20190306,1333
20190309,1314
20190310,1321
20190311,1309
20190312,1364
20190313,1342
20190316,1368
20190317,1322
20190318,1324
20190319,1324
20190325,1324
20190326,1385
20190327,1420
20190330,1456
20190331,1405
20190406,1416
20190407,1411
20190408,1375
20190409,1336
20190410,1360
20190413,1417
20190414,1417
20190415,1522
20190416,1526
20190417,1463
20190420,1512
20190422,1488
20190423,1422
20190424,1491
20190427,1560
20190428,1638
20190429,1719
20190430,1779
20190501,1818
20190504,1898
20190505,1955
20190506,1950
20190507,1854
20190508,1826
20190511,1749
20190512,1664
20190513,1742
20190514,1829
20190515,1919
20190518,2014
20190519,2114
20190520,2132
20190521,2204
20190522,2289
20190525,2391
20190526,2489
20190528,2540
20190529,2520
20190601,2520
20190602,2520
20190603,2360
20190608,2276
20190609,2179
20190610,2196
20190611,2162
20190612,2264
20190615,2304
20190616,2240
20190617,2240
20190618,2212
20190619,2110
20190622,2050
20190623,2152
20190624,2152
20190625,2152
20190626,2207
20190630,2116
20190701,2145
20190702,2205
20190703,2170
20190706,2151
20190707,2217
20190708,2327
20190709,2316
20190710,2236
20190713,2207
20190714,2254
20190715,2203
20190716,2113
20190717,2031
20190720,1958
20190721,1918
20190722,1949
20190723,1868
20190724,1883
20190727,1874
20190728,1885
20190729,1872
20190730,1824
20190731,1793
20190803,1874
20190804,1889
20190805,1901
20190806,1954
20190807,1989
20190810,1969
20190811,1940
20190813,1962
20190814,1992
20190817,2061
20190818,2057
20190819,2043
20190821,2051
20190824,2122
20190825,2166
20190826,2273
20190827,2239
20190828,2202
20190831,2173
20190901,2202
20190902,2120
20190903,2209
20190904,2304
20190907,2298
20190908,2261
20190911,2274
20190914,2371
20190915,2349
20190916,2464
20190917,2579
20190918,2602
20190921,2676
20190922,2665
20190923,2758
20190924,2704
20190925,2747
20190928,2871
20190929,3012
20190930,2992
